id,vendor_id,pickup_datetime,dropoff_datetime,passenger_count,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,store_and_fwd_flag,trip_duration,traffic_from_avg,traffic_into_avg
id1261506,2,2016-01-04 08:45:43,2016-01-04 08:57:27,2,-73.985,40.735,-73.97,40.76,N,704,228.1302711629063,0.0
id3277602,1,2016-01-04 08:02:30,2016-01-04 08:11:54,2,-73.97,40.76,-73.995,40.735,N,564,157.8703575775768,0.0
id2934301,1,2016-01-04 09:10:50,2016-01-04 09:22:16,1,-73.98,40.730000000000004,-73.985,40.745,N,686,397.7413138845049,0.0
id2988116,2,2016-01-04 08:44:18,2016-01-04 09:02:44,4,-73.95,40.78,-73.98,40.765,N,1106,348.6648081165545,0.0
id3771820,2,2016-01-04 08:46:00,2016-01-04 08:55:04,1,-73.94,40.75,-73.955,40.745,N,544,372.69673004099985,0.0
id0134681,2,2016-01-04 09:05:51,2016-01-04 09:16:15,1,-73.955,40.78,-73.96000000000001,40.800000000000004,N,624,275.478566542694,0.0
id3314293,1,2016-01-04 09:04:41,2016-01-04 09:17:14,1,-73.985,40.75,-73.97500000000001,40.765,N,753,397.84925208585014,0.0
id0344937,2,2016-01-04 08:44:24,2016-01-04 09:06:09,5,-74.0,40.685,-73.99,40.735,N,1305,232.10317990282036,0.0
id2629140,2,2016-01-04 08:42:57,2016-01-04 08:45:53,1,-73.97500000000001,40.795,-73.98,40.785000000000004,N,176,146.94244252916045,0.0
id2267034,2,2016-01-04 08:02:13,2016-01-04 08:06:28,1,-73.98,40.74,-73.99,40.725,N,255,134.72982640357475,0.0
id2415497,2,2016-01-04 08:57:03,2016-01-04 09:04:17,1,-73.98,40.785000000000004,-73.99,40.77,N,434,229.30488101628015,0.0
id3046830,1,2016-01-04 08:30:19,2016-01-04 08:36:58,1,-73.98,40.75,-73.98,40.765,N,399,239.63963963963056,0.0
id0828038,1,2016-01-04 08:17:58,2016-01-04 08:28:52,1,-74.01,40.74,-73.985,40.755,N,654,233.65004536833052,0.0
id1477690,2,2016-01-04 08:13:04,2016-01-04 08:24:49,5,-74.0,40.755,-73.985,40.75,N,705,482.99851963033984,0.0
id2600910,1,2016-01-04 08:39:43,2016-01-04 08:51:39,1,-73.985,40.730000000000004,-73.97500000000001,40.75,N,716,298.89428650817865,0.0
id1424089,1,2016-01-04 08:45:18,2016-01-04 08:56:12,1,-73.985,40.74,-73.97,40.765,N,654,211.92783713144988,0.0
id0202482,2,2016-01-04 09:25:11,2016-01-04 09:41:42,1,-73.98,40.735,-74.01,40.730000000000004,N,991,359.5201989379943,0.0
id3308412,1,2016-01-04 08:18:09,2016-01-04 08:24:04,1,-73.985,40.74,-73.995,40.74,N,355,394.44444444424266,0.0
id3032337,2,2016-01-04 08:44:31,2016-01-04 08:52:35,1,-73.965,40.76,-73.98,40.76,N,484,358.51851851850495,0.0
id3180875,1,2016-01-04 09:03:24,2016-01-04 09:09:59,1,-73.965,40.755,-73.96000000000001,40.775,N,395,174.3814643980985,0.0
id1537069,1,2016-01-04 08:55:45,2016-01-04 09:21:51,2,-73.98,40.765,-74.015,40.715,N,1566,245.39245824504053,0.0
id0266140,1,2016-01-04 08:37:23,2016-01-04 09:27:12,2,-73.78,40.645,-73.98,40.730000000000004,N,2989,147.07565165785138,0.0
id3369847,1,2016-01-04 08:54:44,2016-01-04 09:13:07,2,-73.985,40.75,-73.96000000000001,40.765,N,1103,394.0611621427572,0.0
id1929932,1,2016-01-04 08:47:16,2016-01-04 08:59:32,1,-73.995,40.76,-74.01,40.735,N,736,238.4998289430384,0.0
id2867720,2,2016-01-04 09:03:51,2016-01-04 09:26:30,1,-73.95,40.775,-73.97500000000001,40.75,N,1359,380.40038288639516,0.0
id2793916,1,2016-01-04 08:07:33,2016-01-04 08:18:25,1,-73.955,40.775,-73.97500000000001,40.76,N,652,265.90713033899857,0.0
id0279217,1,2016-01-04 08:42:36,2016-01-04 08:52:15,1,-73.985,40.735,-73.985,40.75,N,579,347.7477477477346,0.0
id1994844,1,2016-01-04 08:34:13,2016-01-04 08:42:00,1,-73.985,40.77,-73.98,40.75,N,467,206.16745284527647,0.0
id3864550,2,2016-01-04 09:26:03,2016-01-04 09:49:18,2,-73.97500000000001,40.755,-73.865,40.77,N,1395,138.9575782153177,0.0
id1533322,1,2016-01-04 08:44:24,2016-01-04 08:54:50,1,-73.97,40.755,-73.98,40.74,N,626,330.7485150141596,0.0
id0859490,2,2016-01-04 08:21:23,2016-01-04 08:26:56,1,-73.96000000000001,40.77,-73.955,40.785000000000004,N,333,193.07267860562104,0.0
id0027750,2,2016-01-04 09:05:52,2016-01-04 09:26:48,1,-73.94,40.84,-73.985,40.76,N,1256,128.68899742625345,0.0
id0547106,1,2016-01-04 09:14:29,2016-01-04 09:24:09,1,-74.01,40.72,-74.0,40.735,N,580,306.4443110354833,0.0
