id,vendor_id,pickup_datetime,dropoff_datetime,passenger_count,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,store_and_fwd_flag,trip_duration
id0702699,2,2016-01-04 21:09:10,2016-01-04 21:19:26,1,-73.98,40.785000000000004,-73.955,40.800000000000004,N,616
id2311936,2,2016-01-04 23:36:45,2016-01-04 23:40:00,1,-73.99,40.74,-73.99,40.75,N,195
id3276909,2,2016-01-04 22:32:58,2016-01-04 22:59:51,3,-73.79,40.64,-73.965,40.715,N,1613
id0426296,2,2016-01-04 22:49:20,2016-01-04 23:04:56,1,-73.92,40.7,-73.97500000000001,40.695,N,936
id1072750,1,2016-01-04 23:29:35,2016-01-04 23:51:01,1,-73.995,40.730000000000004,-73.95,40.660000000000004,N,1286
id1371220,2,2016-01-04 22:01:36,2016-01-04 22:26:56,1,-74.005,40.74,-73.955,40.800000000000004,N,1520
id2937058,2,2016-01-04 22:01:37,2016-01-04 22:15:35,2,-74.005,40.725,-73.97,40.69,N,838
id3477544,1,2016-01-04 23:58:48,2016-01-05 00:18:42,1,-73.865,40.77,-74.005,40.725,N,1194
id1010887,1,2016-01-04 23:51:32,2016-01-05 00:00:51,2,-73.865,40.77,-73.91,40.76,N,559
id1559743,2,2016-01-04 21:20:13,2016-01-04 21:22:32,1,-73.98,40.775,-73.97500000000001,40.78,N,139
id2155484,1,2016-01-04 21:03:20,2016-01-04 21:08:14,2,-73.99,40.765,-73.98,40.78,N,294
id1328105,1,2016-01-04 22:48:37,2016-01-04 23:16:10,1,-73.78,40.645,-73.95,40.68,N,1653
id2209944,2,2016-01-04 21:24:13,2016-01-04 21:29:33,1,-73.97500000000001,40.745,-73.99,40.75,N,320
id0975965,2,2016-01-04 22:38:59,2016-01-04 23:05:47,2,-73.875,40.775,-74.015,40.715,N,1608
id0201486,1,2016-01-04 21:20:50,2016-01-04 21:30:46,1,-74.01,40.705,-73.97500000000001,40.75,N,596
id2133446,1,2016-01-04 21:13:58,2016-01-04 21:15:58,1,-73.97,40.765,-73.97,40.77,N,120
id0453399,1,2016-01-04 22:43:32,2016-01-04 22:49:21,1,-73.97,40.76,-73.98,40.775,N,349
id0738454,1,2016-01-04 22:27:06,2016-01-04 23:05:46,1,-73.79,40.645,-73.97500000000001,40.78,N,2320
id1882304,1,2016-01-04 21:37:04,2016-01-04 21:49:00,1,-73.98,40.76,-74.005,40.725,N,716
id2183733,2,2016-01-04 22:45:04,2016-01-04 22:54:42,1,-73.985,40.765,-74.0,40.74,N,578
id0533574,1,2016-01-04 21:03:51,2016-01-04 21:13:33,1,-73.99,40.725,-73.99,40.75,N,582
id0805335,1,2016-01-04 22:56:53,2016-01-04 23:09:31,1,-73.96000000000001,40.775,-73.99,40.75,N,758
id3253021,1,2016-01-04 21:18:02,2016-01-04 21:22:22,1,-73.965,40.77,-73.97,40.76,N,260
id0709496,2,2016-01-04 21:18:00,2016-01-04 21:34:58,1,-73.96000000000001,40.71,-74.005,40.745,N,1018
id2205662,2,2016-01-04 23:30:27,2016-01-04 23:54:37,1,-73.98,40.765,-74.005,40.675000000000004,N,1450
id0386574,1,2016-01-04 22:27:59,2016-01-04 22:44:12,1,-74.005,40.705,-73.95,40.725,N,973
id0596201,1,2016-01-04 21:44:36,2016-01-04 21:50:20,1,-73.985,40.745,-73.965,40.76,N,344
id2265341,2,2016-01-04 21:55:36,2016-01-04 22:13:33,1,-73.98,40.745,-73.94500000000001,40.805,N,1077
id1295193,1,2016-01-04 21:43:03,2016-01-04 21:51:21,1,-73.955,40.78,-73.98,40.78,N,498
id2172018,1,2016-01-04 22:37:55,2016-01-04 22:57:44,1,-73.875,40.775,-73.995,40.730000000000004,N,1189
id2973372,2,2016-01-04 22:09:41,2016-01-04 22:21:51,1,-74.01,40.72,-73.995,40.755,N,730
id3844287,2,2016-01-04 23:30:51,2016-01-04 23:49:10,6,-73.87,40.775,-73.935,40.85,N,1099
id0671187,1,2016-01-04 23:44:16,2016-01-04 23:48:49,1,-73.94500000000001,40.795,-73.95,40.79,N,273
id1337358,2,2016-01-04 22:30:25,2016-01-04 22:40:22,1,-73.97500000000001,40.765,-74.0,40.74,N,597
id0776180,1,2016-01-04 21:33:58,2016-01-04 21:50:40,1,-73.865,40.77,-73.96000000000001,40.715,N,1002
