id,vendor_id,pickup_datetime,dropoff_datetime,passenger_count,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,store_and_fwd_flag,trip_duration
id1261506,2,2016-01-04 08:45:43,2016-01-04 08:57:27,2,-73.985,40.735,-73.97,40.76,N,704
id0481034,1,2016-01-04 06:48:36,2016-01-04 06:52:03,1,-73.995,40.72,-73.99,40.730000000000004,N,207
id3277602,1,2016-01-04 08:02:30,2016-01-04 08:11:54,2,-73.97,40.76,-73.995,40.735,N,564
id3022285,2,2016-01-04 07:28:17,2016-01-04 07:35:09,2,-73.99,40.75,-73.985,40.74,N,412
id0627207,1,2016-01-04 07:13:27,2016-01-04 07:18:18,1,-73.98,40.75,-73.985,40.755,N,291
id2464576,1,2016-01-04 06:18:52,2016-01-04 06:23:07,1,-73.99,40.755,-73.97500000000001,40.76,N,255
id1592761,1,2016-01-04 07:48:49,2016-01-04 07:57:35,4,-74.015,40.715,-73.99,40.730000000000004,N,526
id3442076,2,2016-01-04 07:44:01,2016-01-04 07:56:51,1,-73.995,40.68,-74.005,40.705,N,770
id3805953,2,2016-01-04 06:01:03,2016-01-04 06:09:06,1,-73.99,40.725,-73.97500000000001,40.75,N,483
id2988116,2,2016-01-04 08:44:18,2016-01-04 09:02:44,4,-73.95,40.78,-73.98,40.765,N,1106
id3771820,2,2016-01-04 08:46:00,2016-01-04 08:55:04,1,-73.94,40.75,-73.955,40.745,N,544
id3350898,1,2016-01-04 06:23:00,2016-01-04 06:31:29,1,-73.99,40.75,-73.97,40.75,N,509
id0344937,2,2016-01-04 08:44:24,2016-01-04 09:06:09,5,-74.0,40.685,-73.99,40.735,N,1305
id1785809,1,2016-01-04 06:42:48,2016-01-04 06:56:20,1,-73.97500000000001,40.75,-74.015,40.715,N,812
id2629140,2,2016-01-04 08:42:57,2016-01-04 08:45:53,1,-73.97500000000001,40.795,-73.98,40.785000000000004,N,176
id3043373,2,2016-01-04 07:53:13,2016-01-04 07:57:11,1,-74.005,40.730000000000004,-73.99,40.735,N,238
id2267034,2,2016-01-04 08:02:13,2016-01-04 08:06:28,1,-73.98,40.74,-73.99,40.725,N,255
id3980010,1,2016-01-04 07:29:25,2016-01-04 07:44:45,1,-73.99,40.765,-74.015,40.715,N,920
id2415497,2,2016-01-04 08:57:03,2016-01-04 09:04:17,1,-73.98,40.785000000000004,-73.99,40.77,N,434
id1224569,2,2016-01-04 07:27:12,2016-01-04 07:46:02,2,-73.78,40.645,-73.705,40.645,N,1130
id3046830,1,2016-01-04 08:30:19,2016-01-04 08:36:58,1,-73.98,40.75,-73.98,40.765,N,399
