id,vendor_id,pickup_datetime,dropoff_datetime,passenger_count,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,store_and_fwd_flag,trip_duration
id0860600,1,2016-01-06 15:23:44,2016-01-06 15:38:22,1,-74.0,40.72,-74.015,40.71,N,878
id3791668,2,2016-01-06 17:25:15,2016-01-06 17:27:49,5,-73.965,40.775,-73.96000000000001,40.78,N,154
id3966402,1,2016-01-06 15:28:44,2016-01-06 15:38:46,2,-73.96000000000001,40.77,-73.965,40.765,N,602
id3971248,2,2016-01-06 16:27:55,2016-01-06 16:40:45,3,-73.98,40.775,-73.96000000000001,40.77,N,770
id3973418,2,2016-01-06 15:12:36,2016-01-06 15:26:50,1,-73.97500000000001,40.765,-73.96000000000001,40.775,N,854
id1765619,2,2016-01-06 17:10:45,2016-01-06 17:19:38,3,-73.985,40.77,-73.98,40.785000000000004,N,533
id2858935,2,2016-01-06 17:21:11,2016-01-06 17:38:06,1,-73.95,40.78,-73.97,40.805,N,1015
id2924355,2,2016-01-06 17:59:40,2016-01-06 18:13:18,6,-73.97500000000001,40.765,-73.99,40.755,N,818
id1457357,2,2016-01-06 17:41:39,2016-01-06 17:52:41,1,-73.97500000000001,40.765,-73.97500000000001,40.75,N,662
id1068651,2,2016-01-06 16:14:55,2016-01-06 16:22:05,5,-73.985,40.75,-74.005,40.745,N,430
id1963871,2,2016-01-06 16:06:17,2016-01-06 16:16:09,4,-73.985,40.76,-73.97,40.755,N,592
id1046978,2,2016-01-06 17:24:44,2016-01-06 17:32:09,1,-73.955,40.785000000000004,-73.94500000000001,40.775,N,445
id1306654,1,2016-01-06 17:17:06,2016-01-06 17:42:45,1,-73.985,40.76,-73.98,40.725,N,1539
id0257352,2,2016-01-06 15:17:08,2016-01-06 16:00:27,6,-73.97500000000001,40.76,-73.845,40.72,N,2599
id3267341,1,2016-01-06 16:54:13,2016-01-06 17:08:39,1,-73.96000000000001,40.785000000000004,-73.965,40.765,N,866
id0098009,1,2016-01-06 16:53:22,2016-01-06 17:01:29,1,-73.98,40.765,-74.0,40.76,N,487
id1035677,2,2016-01-06 15:33:55,2016-01-06 15:56:53,2,-73.96000000000001,40.78,-73.985,40.76,N,1378
id0739726,2,2016-01-06 15:50:16,2016-01-06 15:53:32,1,-73.98,40.75,-73.98,40.74,N,196
id1279228,2,2016-01-06 17:57:52,2016-01-06 18:09:39,1,-73.96000000000001,40.77,-73.94500000000001,40.805,N,707
id1242293,2,2016-01-06 16:14:07,2016-01-06 16:22:36,1,-73.98,40.74,-73.99,40.75,N,509
id2285519,1,2016-01-06 15:22:59,2016-01-06 15:31:50,1,-73.98,40.75,-73.995,40.735,N,531
id1304188,2,2016-01-06 17:47:40,2016-01-06 18:00:34,3,-73.98,40.765,-73.98,40.79,N,774
id0993294,2,2016-01-06 16:04:52,2016-01-06 16:19:01,1,-73.98,40.77,-73.99,40.75,N,849
id0978222,2,2016-01-06 15:55:43,2016-01-06 16:20:14,1,-73.99,40.75,-73.95,40.79,N,1471
id3620345,1,2016-01-06 17:09:40,2016-01-06 17:14:08,1,-73.965,40.765,-73.955,40.775,N,268
id3715750,2,2016-01-06 16:56:35,2016-01-06 17:00:43,2,-73.99,40.745,-73.995,40.730000000000004,N,248
id3287357,1,2016-01-06 17:56:01,2016-01-06 18:02:00,1,-73.995,40.75,-73.99,40.75,N,359
id1666535,1,2016-01-06 16:46:40,2016-01-06 16:56:17,1,-73.98,40.775,-73.97,40.785000000000004,N,577
id2577273,2,2016-01-06 17:37:36,2016-01-06 17:49:53,2,-73.97500000000001,40.755,-73.99,40.745,N,737
id0897344,2,2016-01-06 17:49:13,2016-01-06 17:56:39,1,-74.01,40.74,-74.0,40.730000000000004,N,446
id2597482,1,2016-01-06 16:36:43,2016-01-06 16:50:13,1,-73.97500000000001,40.79,-73.99,40.775,N,810
id1469177,2,2016-01-06 15:18:24,2016-01-06 15:35:42,5,-74.015,40.705,-73.995,40.72,N,1038
id2183682,2,2016-01-06 17:31:19,2016-01-06 18:18:15,1,-73.875,40.775,-73.985,40.765,N,2816
id2983983,2,2016-01-06 15:11:54,2016-01-06 15:30:53,2,-73.965,40.755,-73.99,40.75,N,1139
id0835240,1,2016-01-06 15:21:09,2016-01-06 15:29:00,1,-73.97500000000001,40.765,-73.98,40.745,N,471
id2327213,2,2016-01-06 16:39:26,2016-01-06 16:43:39,1,-73.985,40.735,-73.98,40.745,N,253
id0915971,2,2016-01-06 15:35:29,2016-01-06 15:40:38,1,-74.005,40.730000000000004,-73.99,40.730000000000004,N,309
id2724814,2,2016-01-06 15:23:44,2016-01-06 15:27:40,1,-73.99,40.735,-73.995,40.735,N,236
id1580210,2,2016-01-06 17:54:20,2016-01-06 18:07:42,5,-74.01,40.72,-73.99,40.74,N,802
id2688460,1,2016-01-06 17:04:07,2016-01-06 18:00:32,2,-73.78,40.645,-73.97,40.71,N,3385
id0675429,2,2016-01-06 15:23:12,2016-01-06 15:25:58,1,-74.005,40.725,-74.01,40.72,N,166
id0507369,1,2016-01-06 15:41:09,2016-01-06 15:57:17,1,-73.99,40.74,-73.965,40.755,N,968
id1327376,2,2016-01-06 17:18:08,2016-01-06 17:29:14,5,-73.96000000000001,40.77,-73.935,40.800000000000004,N,666
id3502865,2,2016-01-06 17:28:18,2016-01-06 17:38:11,1,-73.94,40.785000000000004,-73.94500000000001,40.78,N,593
id0095719,1,2016-01-06 17:09:39,2016-01-06 17:14:06,1,-73.98,40.74,-73.99,40.725,N,267
id2084212,2,2016-01-06 16:13:24,2016-01-06 16:27:38,1,-74.0,40.74,-73.995,40.76,N,854
id3450690,1,2016-01-06 17:02:28,2016-01-06 17:12:17,2,-73.995,40.75,-73.985,40.765,N,589
id1311665,2,2016-01-06 17:39:23,2016-01-06 17:55:50,1,-73.97500000000001,40.76,-73.94500000000001,40.775,N,987
id2709639,1,2016-01-06 15:13:04,2016-01-06 15:32:21,1,-73.775,40.645,-73.865,40.685,N,1157
id3483281,1,2016-01-06 17:48:28,2016-01-06 17:57:46,1,-74.005,40.72,-73.995,40.72,N,558
id1506998,1,2016-01-06 16:19:37,2016-01-06 17:06:01,1,-73.87,40.775,-73.86,40.77,N,2784
id0034544,1,2016-01-06 15:38:35,2016-01-06 15:40:49,1,-73.985,40.76,-73.98,40.755,N,134
id2284266,2,2016-01-06 16:58:32,2016-01-06 17:11:11,1,-73.99,40.75,-73.97,40.755,N,759
id2706715,2,2016-01-06 15:36:55,2016-01-06 16:05:53,3,-73.995,40.755,-73.875,40.775,N,1738
id0809932,2,2016-01-06 17:09:55,2016-01-06 17:25:48,1,-73.98,40.78,-73.995,40.74,N,953
id1192747,2,2016-01-06 15:05:47,2016-01-06 15:15:24,1,-73.955,40.785000000000004,-73.95,40.775,N,577
id3775810,1,2016-01-06 15:21:49,2016-01-06 15:51:30,1,-73.995,40.725,-73.97,40.79,N,1781
id0092801,2,2016-01-06 15:19:48,2016-01-06 15:40:16,1,-74.0,40.74,-73.97,40.76,N,1228
id0597159,1,2016-01-06 15:05:59,2016-01-06 15:51:21,1,-74.005,40.725,-73.97,40.705,N,2722
id1128045,2,2016-01-06 17:32:26,2016-01-06 17:39:28,1,-73.99,40.74,-74.0,40.745,N,422
id1077882,2,2016-01-06 15:46:10,2016-01-06 16:44:46,1,-73.775,40.645,-73.985,40.76,N,3516
id2675664,1,2016-01-06 16:39:35,2016-01-06 16:51:18,1,-73.98,40.765,-73.965,40.775,N,703
id1735585,1,2016-01-06 16:50:07,2016-01-06 16:57:53,1,-73.995,40.730000000000004,-73.98,40.735,N,466
id0673659,2,2016-01-06 16:06:18,2016-01-06 16:12:22,2,-73.98,40.75,-73.97500000000001,40.74,N,364
id0796554,2,2016-01-06 16:15:40,2016-01-06 16:26:58,1,-73.98,40.76,-74.005,40.730000000000004,N,678
id3886535,2,2016-01-06 17:28:25,2016-01-06 18:09:32,2,-73.79,40.645,-73.94500000000001,40.81,N,2467
id0798652,2,2016-01-06 16:18:47,2016-01-06 16:24:52,5,-73.97500000000001,40.765,-73.985,40.75,N,365
id1276804,2,2016-01-06 17:00:23,2016-01-06 17:10:11,1,-73.97500000000001,40.755,-73.965,40.77,N,588
id1313471,1,2016-01-06 17:28:04,2016-01-06 17:30:36,1,-73.985,40.745,-73.98,40.75,N,152
id3926335,1,2016-01-06 15:38:42,2016-01-06 15:46:44,1,-73.97500000000001,40.755,-73.99,40.755,N,482
id0757852,1,2016-01-06 17:06:37,2016-01-06 17:29:05,1,-73.97500000000001,40.78,-74.01,40.74,N,1348
id3166713,1,2016-01-06 15:40:02,2016-01-06 16:05:53,2,-73.995,40.725,-73.98,40.765,N,1551
id2299227,1,2016-01-06 15:41:08,2016-01-06 16:25:13,1,-73.785,40.645,-73.935,40.75,N,2645
id0806396,2,2016-01-06 15:01:05,2016-01-06 15:04:19,2,-73.98,40.745,-73.985,40.735,N,194
id0493665,2,2016-01-06 17:27:43,2016-01-06 17:37:35,1,-73.98,40.77,-73.97,40.795,N,592
id2571839,1,2016-01-06 17:53:55,2016-01-06 18:01:00,2,-73.99,40.74,-74.0,40.730000000000004,N,425
