id,vendor_id,pickup_datetime,dropoff_datetime,passenger_count,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,store_and_fwd_flag,trip_duration,traffic_from_avg,traffic_into_avg
id1261506,2,2016-01-04 08:45:43,2016-01-04 08:57:27,2,-73.985,40.735,-73.97,40.76,N,704,704.0,0.0
id3277602,1,2016-01-04 08:02:30,2016-01-04 08:11:54,2,-73.97,40.76,-73.995,40.735,N,564,564.0,0.0
id2934301,1,2016-01-04 09:10:50,2016-01-04 09:22:16,1,-73.98,40.730000000000004,-73.985,40.745,N,686,686.0,0.0
id2988116,2,2016-01-04 08:44:18,2016-01-04 09:02:44,4,-73.95,40.78,-73.98,40.765,N,1106,1106.0,0.0
id3771820,2,2016-01-04 08:46:00,2016-01-04 08:55:04,1,-73.94,40.75,-73.955,40.745,N,544,544.0,0.0
id0134681,2,2016-01-04 09:05:51,2016-01-04 09:16:15,1,-73.955,40.78,-73.96000000000001,40.800000000000004,N,624,624.0,0.0
id3314293,1,2016-01-04 09:04:41,2016-01-04 09:17:14,1,-73.985,40.75,-73.97500000000001,40.765,N,753,753.0,0.0
id0344937,2,2016-01-04 08:44:24,2016-01-04 09:06:09,5,-74.0,40.685,-73.99,40.735,N,1305,1305.0,0.0
id2629140,2,2016-01-04 08:42:57,2016-01-04 08:45:53,1,-73.97500000000001,40.795,-73.98,40.785000000000004,N,176,176.0,0.0
id2267034,2,2016-01-04 08:02:13,2016-01-04 08:06:28,1,-73.98,40.74,-73.99,40.725,N,255,255.0,0.0
id2415497,2,2016-01-04 08:57:03,2016-01-04 09:04:17,1,-73.98,40.785000000000004,-73.99,40.77,N,434,434.0,0.0
id3046830,1,2016-01-04 08:30:19,2016-01-04 08:36:58,1,-73.98,40.75,-73.98,40.765,N,399,399.0,0.0
id0828038,1,2016-01-04 08:17:58,2016-01-04 08:28:52,1,-74.01,40.74,-73.985,40.755,N,654,654.0,0.0
id1477690,2,2016-01-04 08:13:04,2016-01-04 08:24:49,5,-74.0,40.755,-73.985,40.75,N,705,705.0,0.0
id2600910,1,2016-01-04 08:39:43,2016-01-04 08:51:39,1,-73.985,40.730000000000004,-73.97500000000001,40.75,N,716,716.0,0.0
id1424089,1,2016-01-04 08:45:18,2016-01-04 08:56:12,1,-73.985,40.74,-73.97,40.765,N,654,654.0,0.0
id0202482,2,2016-01-04 09:25:11,2016-01-04 09:41:42,1,-73.98,40.735,-74.01,40.730000000000004,N,991,991.0,0.0
id3308412,1,2016-01-04 08:18:09,2016-01-04 08:24:04,1,-73.985,40.74,-73.995,40.74,N,355,355.0,0.0
id3032337,2,2016-01-04 08:44:31,2016-01-04 08:52:35,1,-73.965,40.76,-73.98,40.76,N,484,484.0,0.0
id3180875,1,2016-01-04 09:03:24,2016-01-04 09:09:59,1,-73.965,40.755,-73.96000000000001,40.775,N,395,395.0,0.0
id1537069,1,2016-01-04 08:55:45,2016-01-04 09:21:51,2,-73.98,40.765,-74.015,40.715,N,1566,1566.0,0.0
id0266140,1,2016-01-04 08:37:23,2016-01-04 09:27:12,2,-73.78,40.645,-73.98,40.730000000000004,N,2989,2989.0,0.0
id3369847,1,2016-01-04 08:54:44,2016-01-04 09:13:07,2,-73.985,40.75,-73.96000000000001,40.765,N,1103,1103.0,0.0
id1929932,1,2016-01-04 08:47:16,2016-01-04 08:59:32,1,-73.995,40.76,-74.01,40.735,N,736,736.0,0.0
id2867720,2,2016-01-04 09:03:51,2016-01-04 09:26:30,1,-73.95,40.775,-73.97500000000001,40.75,N,1359,1359.0,0.0
id2793916,1,2016-01-04 08:07:33,2016-01-04 08:18:25,1,-73.955,40.775,-73.97500000000001,40.76,N,652,652.0,0.0
id0279217,1,2016-01-04 08:42:36,2016-01-04 08:52:15,1,-73.985,40.735,-73.985,40.75,N,579,579.0,0.0
id1994844,1,2016-01-04 08:34:13,2016-01-04 08:42:00,1,-73.985,40.77,-73.98,40.75,N,467,467.0,0.0
id3864550,2,2016-01-04 09:26:03,2016-01-04 09:49:18,2,-73.97500000000001,40.755,-73.865,40.77,N,1395,1395.0,0.0
id1533322,1,2016-01-04 08:44:24,2016-01-04 08:54:50,1,-73.97,40.755,-73.98,40.74,N,626,626.0,0.0
