0 ,/, 3000 ,epoch,Train loss:, 4.243495, acc:, 0.200, Test loss:, 2.059920, acc:, 0.167,---, 0.0390, seconds ---
1 ,/, 3000 ,epoch,Train loss:, 3.067489, acc:, 0.275, Test loss:, 1.282076, acc:, 0.405,---, 0.0392, seconds ---
2 ,/, 3000 ,epoch,Train loss:, 2.917975, acc:, 0.325, Test loss:, 1.046521, acc:, 0.476,---, 0.0391, seconds ---
3 ,/, 3000 ,epoch,Train loss:, 1.836224, acc:, 0.425, Test loss:, 0.978391, acc:, 0.548,---, 0.0388, seconds ---
4 ,/, 3000 ,epoch,Train loss:, 2.361491, acc:, 0.325, Test loss:, 0.927586, acc:, 0.667,---, 0.0390, seconds ---
5 ,/, 3000 ,epoch,Train loss:, 1.811627, acc:, 0.475, Test loss:, 0.940608, acc:, 0.690,---, 0.0388, seconds ---
6 ,/, 3000 ,epoch,Train loss:, 1.459186, acc:, 0.500, Test loss:, 1.022525, acc:, 0.643,---, 0.0386, seconds ---
7 ,/, 3000 ,epoch,Train loss:, 1.779868, acc:, 0.325, Test loss:, 1.083300, acc:, 0.548,---, 0.0386, seconds ---
8 ,/, 3000 ,epoch,Train loss:, 1.574220, acc:, 0.350, Test loss:, 1.174650, acc:, 0.476,---, 0.0389, seconds ---
9 ,/, 3000 ,epoch,Train loss:, 1.160539, acc:, 0.525, Test loss:, 1.219995, acc:, 0.452,---, 0.0386, seconds ---
10 ,/, 3000 ,epoch,Train loss:, 1.435335, acc:, 0.450, Test loss:, 1.178610, acc:, 0.476,---, 0.0385, seconds ---
11 ,/, 3000 ,epoch,Train loss:, 1.130696, acc:, 0.450, Test loss:, 1.174734, acc:, 0.405,---, 0.0386, seconds ---
12 ,/, 3000 ,epoch,Train loss:, 1.269606, acc:, 0.375, Test loss:, 1.160853, acc:, 0.405,---, 0.0385, seconds ---
13 ,/, 3000 ,epoch,Train loss:, 1.073006, acc:, 0.500, Test loss:, 1.126796, acc:, 0.452,---, 0.0384, seconds ---
14 ,/, 3000 ,epoch,Train loss:, 1.139667, acc:, 0.550, Test loss:, 1.139421, acc:, 0.500,---, 0.0386, seconds ---
15 ,/, 3000 ,epoch,Train loss:, 1.238500, acc:, 0.400, Test loss:, 1.092724, acc:, 0.548,---, 0.0387, seconds ---
16 ,/, 3000 ,epoch,Train loss:, 1.205340, acc:, 0.425, Test loss:, 1.079415, acc:, 0.524,---, 0.0385, seconds ---
17 ,/, 3000 ,epoch,Train loss:, 0.949352, acc:, 0.575, Test loss:, 1.070190, acc:, 0.548,---, 0.0386, seconds ---
18 ,/, 3000 ,epoch,Train loss:, 1.155802, acc:, 0.450, Test loss:, 1.040998, acc:, 0.571,---, 0.0387, seconds ---
19 ,/, 3000 ,epoch,Train loss:, 1.139843, acc:, 0.400, Test loss:, 1.015352, acc:, 0.595,---, 0.0385, seconds ---
20 ,/, 3000 ,epoch,Train loss:, 1.108493, acc:, 0.500, Test loss:, 1.018283, acc:, 0.643,---, 0.0385, seconds ---
21 ,/, 3000 ,epoch,Train loss:, 0.972088, acc:, 0.600, Test loss:, 1.026814, acc:, 0.595,---, 0.0390, seconds ---
22 ,/, 3000 ,epoch,Train loss:, 1.177617, acc:, 0.450, Test loss:, 1.049295, acc:, 0.595,---, 0.0384, seconds ---
23 ,/, 3000 ,epoch,Train loss:, 0.965320, acc:, 0.675, Test loss:, 1.045832, acc:, 0.571,---, 0.0386, seconds ---
24 ,/, 3000 ,epoch,Train loss:, 0.933831, acc:, 0.500, Test loss:, 1.038289, acc:, 0.595,---, 0.0386, seconds ---
25 ,/, 3000 ,epoch,Train loss:, 1.004726, acc:, 0.475, Test loss:, 1.015510, acc:, 0.595,---, 0.0387, seconds ---
26 ,/, 3000 ,epoch,Train loss:, 1.030181, acc:, 0.575, Test loss:, 0.987740, acc:, 0.619,---, 0.0389, seconds ---
27 ,/, 3000 ,epoch,Train loss:, 1.065700, acc:, 0.525, Test loss:, 0.980840, acc:, 0.619,---, 0.0385, seconds ---
28 ,/, 3000 ,epoch,Train loss:, 1.082849, acc:, 0.475, Test loss:, 0.964462, acc:, 0.619,---, 0.0386, seconds ---
29 ,/, 3000 ,epoch,Train loss:, 1.010358, acc:, 0.600, Test loss:, 0.954411, acc:, 0.643,---, 0.0386, seconds ---
30 ,/, 3000 ,epoch,Train loss:, 0.987049, acc:, 0.600, Test loss:, 0.959126, acc:, 0.690,---, 0.0386, seconds ---
31 ,/, 3000 ,epoch,Train loss:, 0.890573, acc:, 0.475, Test loss:, 0.970379, acc:, 0.690,---, 0.0386, seconds ---
32 ,/, 3000 ,epoch,Train loss:, 0.887924, acc:, 0.600, Test loss:, 0.968401, acc:, 0.643,---, 0.0385, seconds ---
33 ,/, 3000 ,epoch,Train loss:, 0.948142, acc:, 0.575, Test loss:, 0.968872, acc:, 0.667,---, 0.0386, seconds ---
34 ,/, 3000 ,epoch,Train loss:, 0.870900, acc:, 0.625, Test loss:, 0.972766, acc:, 0.643,---, 0.0387, seconds ---
35 ,/, 3000 ,epoch,Train loss:, 0.930675, acc:, 0.625, Test loss:, 0.944309, acc:, 0.667,---, 0.0389, seconds ---
36 ,/, 3000 ,epoch,Train loss:, 0.998674, acc:, 0.525, Test loss:, 0.927478, acc:, 0.714,---, 0.0390, seconds ---
37 ,/, 3000 ,epoch,Train loss:, 0.989855, acc:, 0.600, Test loss:, 0.897797, acc:, 0.667,---, 0.0389, seconds ---
38 ,/, 3000 ,epoch,Train loss:, 0.903533, acc:, 0.600, Test loss:, 0.874116, acc:, 0.667,---, 0.0391, seconds ---
39 ,/, 3000 ,epoch,Train loss:, 1.045455, acc:, 0.525, Test loss:, 0.853776, acc:, 0.690,---, 0.0389, seconds ---
40 ,/, 3000 ,epoch,Train loss:, 1.007478, acc:, 0.625, Test loss:, 0.828018, acc:, 0.714,---, 0.0389, seconds ---
41 ,/, 3000 ,epoch,Train loss:, 1.043154, acc:, 0.400, Test loss:, 0.829434, acc:, 0.667,---, 0.0389, seconds ---
42 ,/, 3000 ,epoch,Train loss:, 0.826331, acc:, 0.600, Test loss:, 0.848564, acc:, 0.690,---, 0.0385, seconds ---
43 ,/, 3000 ,epoch,Train loss:, 0.765972, acc:, 0.650, Test loss:, 0.878303, acc:, 0.738,---, 0.0387, seconds ---
44 ,/, 3000 ,epoch,Train loss:, 0.917851, acc:, 0.600, Test loss:, 0.873534, acc:, 0.714,---, 0.0389, seconds ---
45 ,/, 3000 ,epoch,Train loss:, 0.801841, acc:, 0.700, Test loss:, 0.876296, acc:, 0.690,---, 0.0386, seconds ---
46 ,/, 3000 ,epoch,Train loss:, 0.892458, acc:, 0.600, Test loss:, 0.861430, acc:, 0.667,---, 0.0387, seconds ---
47 ,/, 3000 ,epoch,Train loss:, 0.928043, acc:, 0.600, Test loss:, 0.816237, acc:, 0.738,---, 0.0386, seconds ---
48 ,/, 3000 ,epoch,Train loss:, 0.747937, acc:, 0.775, Test loss:, 0.765360, acc:, 0.762,---, 0.0388, seconds ---
49 ,/, 3000 ,epoch,Train loss:, 0.734583, acc:, 0.750, Test loss:, 0.747464, acc:, 0.762,---, 0.0389, seconds ---
50 ,/, 3000 ,epoch,Train loss:, 0.789513, acc:, 0.725, Test loss:, 0.762742, acc:, 0.738,---, 0.0388, seconds ---
51 ,/, 3000 ,epoch,Train loss:, 0.743204, acc:, 0.700, Test loss:, 0.786763, acc:, 0.714,---, 0.0386, seconds ---
52 ,/, 3000 ,epoch,Train loss:, 0.751712, acc:, 0.675, Test loss:, 0.803833, acc:, 0.667,---, 0.0387, seconds ---
53 ,/, 3000 ,epoch,Train loss:, 0.820940, acc:, 0.700, Test loss:, 0.807074, acc:, 0.667,---, 0.0386, seconds ---
54 ,/, 3000 ,epoch,Train loss:, 0.684505, acc:, 0.750, Test loss:, 0.767240, acc:, 0.690,---, 0.0387, seconds ---
55 ,/, 3000 ,epoch,Train loss:, 0.696152, acc:, 0.700, Test loss:, 0.726482, acc:, 0.714,---, 0.0385, seconds ---
56 ,/, 3000 ,epoch,Train loss:, 0.803739, acc:, 0.625, Test loss:, 0.693187, acc:, 0.738,---, 0.0391, seconds ---
57 ,/, 3000 ,epoch,Train loss:, 0.661811, acc:, 0.700, Test loss:, 0.691762, acc:, 0.738,---, 0.0388, seconds ---
58 ,/, 3000 ,epoch,Train loss:, 0.739251, acc:, 0.600, Test loss:, 0.697646, acc:, 0.762,---, 0.0388, seconds ---
59 ,/, 3000 ,epoch,Train loss:, 0.714552, acc:, 0.725, Test loss:, 0.709023, acc:, 0.738,---, 0.0385, seconds ---
60 ,/, 3000 ,epoch,Train loss:, 0.736569, acc:, 0.650, Test loss:, 0.688603, acc:, 0.762,---, 0.0387, seconds ---
61 ,/, 3000 ,epoch,Train loss:, 0.693348, acc:, 0.750, Test loss:, 0.680564, acc:, 0.762,---, 0.0390, seconds ---
62 ,/, 3000 ,epoch,Train loss:, 0.605499, acc:, 0.800, Test loss:, 0.655073, acc:, 0.762,---, 0.0388, seconds ---
63 ,/, 3000 ,epoch,Train loss:, 0.670391, acc:, 0.775, Test loss:, 0.628986, acc:, 0.714,---, 0.0389, seconds ---
64 ,/, 3000 ,epoch,Train loss:, 0.655896, acc:, 0.725, Test loss:, 0.597339, acc:, 0.714,---, 0.0390, seconds ---
65 ,/, 3000 ,epoch,Train loss:, 0.704347, acc:, 0.625, Test loss:, 0.576669, acc:, 0.714,---, 0.0389, seconds ---
66 ,/, 3000 ,epoch,Train loss:, 0.620343, acc:, 0.775, Test loss:, 0.564016, acc:, 0.738,---, 0.0388, seconds ---
67 ,/, 3000 ,epoch,Train loss:, 0.581490, acc:, 0.800, Test loss:, 0.577536, acc:, 0.762,---, 0.0386, seconds ---
68 ,/, 3000 ,epoch,Train loss:, 0.626836, acc:, 0.775, Test loss:, 0.601709, acc:, 0.762,---, 0.0386, seconds ---
69 ,/, 3000 ,epoch,Train loss:, 0.488438, acc:, 0.800, Test loss:, 0.614615, acc:, 0.786,---, 0.0387, seconds ---
70 ,/, 3000 ,epoch,Train loss:, 0.633584, acc:, 0.750, Test loss:, 0.640015, acc:, 0.762,---, 0.0388, seconds ---
71 ,/, 3000 ,epoch,Train loss:, 0.569209, acc:, 0.800, Test loss:, 0.613571, acc:, 0.786,---, 0.0385, seconds ---
72 ,/, 3000 ,epoch,Train loss:, 0.520129, acc:, 0.800, Test loss:, 0.570049, acc:, 0.762,---, 0.0386, seconds ---
73 ,/, 3000 ,epoch,Train loss:, 0.481463, acc:, 0.825, Test loss:, 0.536508, acc:, 0.762,---, 0.0384, seconds ---
74 ,/, 3000 ,epoch,Train loss:, 0.472002, acc:, 0.825, Test loss:, 0.509640, acc:, 0.786,---, 0.0388, seconds ---
75 ,/, 3000 ,epoch,Train loss:, 0.599749, acc:, 0.750, Test loss:, 0.501188, acc:, 0.786,---, 0.0388, seconds ---
76 ,/, 3000 ,epoch,Train loss:, 0.607177, acc:, 0.750, Test loss:, 0.568191, acc:, 0.762,---, 0.0389, seconds ---
